track_name,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,cont_rating,prime_genre,lang.num,size_mb
PAC-MAN Premium,3.99,21292,26,4.0,4.5,4+,Games,10,96.119140625
Evernote - stay organized,0.0,161065,26,4.0,3.5,4+,Productivity,23,151.232421875
"WeatherBug - Local Weather, Radar, Maps, Alerts",0.0,188583,2822,3.5,4.5,4+,Weather,3,95.8671875
"eBay: Best App to Buy, Sell, Save! Online Shopping",0.0,262241,649,4.0,4.5,12+,Shopping,9,122.55859375
Bible,0.0,985920,5320,4.5,5.0,4+,Reference,45,88.4765625
Shanghai Mahjong,0.99,8253,5516,4.0,4.0,4+,Games,1,9.999955177307129
PayPal - Send and request money safely,0.0,119487,879,4.0,4.5,4+,Finance,19,217.2431640625
Pandora - Music & Radio,0.0,1126879,3594,4.0,4.5,12+,Music,1,124.208984375
PCalc - The Best Calculator,9.99,1117,4,4.5,5.0,4+,Utilities,1,46.96875
Ms. PAC-MAN,3.99,7885,40,4.0,4.0,4+,Games,10,66.779296875
Solitaire by MobilityWare,4.99,76720,4017,4.5,4.5,4+,Games,11,47.3203125
SCRABBLE Premium,7.99,105776,166,3.5,2.5,4+,Games,6,217.005859375
Google – Search made just for mobile,0.0,479440,203,3.5,4.0,17+,Utilities,33,171.6416015625
Bank of America - Mobile Banking,0.0,119773,2336,3.5,4.5,4+,Finance,2,153.470703125
FreeCell,4.99,6340,668,4.5,4.5,4+,Games,2,52.5986328125
TripAdvisor Hotels Flights Restaurants,0.0,56194,87,4.0,3.5,4+,Travel,26,198.2763671875
Facebook,0.0,2974676,212,3.5,3.5,4+,Social Networking,29,371.818359375
"Yelp - Nearby Restaurants, Shopping & Services",0.0,223885,3726,4.0,4.5,12+,Travel,18,159.65234375
"Shazam - Discover music, artists, videos & lyrics",0.0,402925,136,4.0,4.5,12+,Music,16,140.279296875
Crash Bandicoot Nitro Kart 3D,2.99,31456,4178,4.0,3.5,4+,Games,1,10.23771858215332
iQuran,1.99,2929,966,4.5,4.5,4+,Reference,2,67.43232345581055
:) Sudoku +,2.99,11447,781,5.0,5.0,4+,Games,1,5.8837890625
"Yahoo Sports - Teams, Scores, News & Highlights",0.0,137951,131,4.0,4.5,4+,Sports,6,124.5341796875
Mileage Log | Fahrtenbuch,5.99,8,0,4.5,0.0,4+,Business,3,67.9052734375
Cleartune - Chromatic Tuner,3.99,3241,297,4.0,4.0,4+,Music,10,10.893829345703125
Lifesum – Inspiring healthy lifestyle app,0.0,5795,12,3.5,4.0,4+,Health & Fitness,11,179.3076171875
Hangman.,0.0,42316,248,3.0,3.5,9+,Games,1,4.544921875
iTranslate - Language Translator & Dictionary,0.0,123215,25,3.5,5.0,4+,Productivity,23,274.5947265625
TouchOSC,4.99,782,7,4.0,3.5,4+,Music,1,4.06640625
RadarScope,9.99,3449,23,4.0,4.5,4+,Weather,1,164.7685546875
LinkedIn,0.0,71856,62,3.5,4.5,4+,Social Networking,23,261.158203125
Period Tracker Deluxe,1.99,13350,489,4.5,5.0,12+,Health & Fitness,15,38.353515625
Election 2016 Map,0.99,137,0,3.0,0.0,4+,Entertainment,1,2.2763671875
Blackjack by MobilityWare,0.0,180087,1101,3.5,4.5,12+,Games,5,100.546875
White Noise,0.99,33426,299,4.0,5.0,4+,Health & Fitness,3,42.0849609375
iHeartRadio – Free Music & Radio Stations,0.0,293228,110,4.0,3.0,12+,Music,2,111.048828125
Line Rider iRide™,1.99,21609,69,3.5,2.5,9+,Entertainment,1,1.5703125
Deliveries: a package tracker,4.99,4684,10,4.0,4.0,4+,Utilities,9,28.6259765625
Hurricane Pro,2.99,2104,0,4.5,0.0,17+,Weather,1,28.1513671875
Fieldrunners,2.99,41633,6,4.0,3.0,9+,Games,1,63.7744140625
Juxtaposer,2.99,3610,7,4.5,5.0,4+,Photo & Video,1,43.1337890625
Deezer - Listen to your Favorite Music & Playlists,0.0,4677,12,3.0,4.0,12+,Music,21,121.5654296875
iStellar,3.99,30,0,3.5,0.0,4+,Navigation,2,42.1923828125
Sonos Controller,0.0,48905,2691,4.5,4.5,4+,Music,12,102.9814453125
Avertinoo,4.99,32,0,3.0,0.0,4+,Navigation,7,7.671875
Google Earth,0.0,446185,1359,3.5,3.5,4+,Travel,30,35.490234375
iFart - The Original Fart Sounds App,1.99,21825,10,3.0,4.0,9+,Entertainment,1,57.5263671875
PAC-MAN,0.0,508808,99,3.0,4.5,4+,Games,10,96.177734375
FOX Sports Mobile,0.0,57500,103,3.0,4.0,4+,Sports,1,69.3779296875
First Words Animals,1.99,2576,4,4.0,5.0,4+,Games,1,30.6748046875
WeatherPro,1.99,1572,34,4.0,4.5,4+,Weather,13,65.87890625
HotSchedules,2.99,3292,2,3.0,5.0,4+,Business,2,78.2373046875
Star Walk - Find Stars And Planets in Sky Above,4.99,8932,55,4.5,5.0,4+,Education,12,143.2373046875
"The Weather Channel: Forecast, Radar & Alerts",0.0,495626,5893,3.5,4.5,4+,Weather,33,190.4814453125
Big Day - Event Countdown,0.99,812,14,3.0,4.0,4+,Lifestyle,7,12.546875
12 Steps AA Companion - Alcoholics Anonymous,2.99,1583,2,3.5,4.5,12+,Lifestyle,1,28.9609375
OpenTable - Restaurant Reservations,0.0,113936,150,4.5,5.0,4+,Food & Drink,6,89.0927734375
VLC Remote,4.99,2027,2,4.0,5.0,4+,Entertainment,33,30.0458984375
gFlashPro - Flashcards & Tests,3.99,768,4,4.0,4.0,4+,Education,3,24.79296875
Lose It! – Weight Loss Program and Calorie Counter,0.0,373835,402,4.0,4.5,4+,Health & Fitness,1,173.62109375
Target,0.0,108131,13,3.0,2.0,4+,Shopping,1,132.326171875
Fish Tycoon,0.99,18943,1787,3.5,4.5,4+,Games,1,12.936434745788574
"Amazon App: shop, scan, compare, and read reviews",0.0,126312,22,3.5,3.0,4+,Shopping,8,127.4951171875
Touchgrind,4.99,35735,378,4.0,4.5,4+,Games,0,52.6484375
ProPresenter Remote,4.99,410,7,3.0,2.5,4+,Utilities,1,44.7490234375
iReal Pro - Music Book & Play Along,12.99,1390,143,4.5,5.0,4+,Music,33,60.3515625
NRJ Radio,0.0,38,2,3.5,5.0,4+,Music,4,50.951171875
Chase Mobile℠,0.0,233270,14625,4.5,4.5,4+,Finance,2,37.67578125
大辞林,21.99,64,0,4.5,0.0,4+,Reference,2,200.3564453125
Allrecipes Dinner Spinner,0.0,109349,1540,3.5,5.0,12+,Food & Drink,1,34.712890625
新浪新闻-阅读最新时事热门头条资讯视频,0.0,2229,4,3.5,1.0,17+,News,1,109.8095703125
MotionX GPS,1.99,14970,24,3.5,4.5,4+,Navigation,1,53.865234375
AccuWeather - Weather for Life,0.0,144214,2162,3.5,4.0,4+,Weather,43,173.5126953125
"Mint: Personal Finance, Budget, Bills & Money",0.0,232940,683,4.0,4.5,4+,Finance,1,155.345703125
ABC News - US & World News + Live Video,0.0,48407,20,3.0,3.5,12+,News,1,93.5634765625
Rowmote: Remote Control for Mac,0.99,5531,37,3.5,2.5,4+,Utilities,13,51.5830078125
Peekaboo Barn,1.99,3393,77,4.0,4.0,4+,Education,1,47.83203125
Speedtest by Ookla,0.0,65016,274,3.5,5.0,4+,Utilities,17,22.8271484375
Pocket God,0.99,187529,1071,4.0,4.0,9+,Entertainment,1,138.5625
Nike+ Training Club - Workouts & Fitness Plans,0.0,33969,466,3.5,5.0,4+,Health & Fitness,17,133.865234375
Citi Mobile®,0.0,48822,193,3.5,4.0,4+,Finance,1,268.2158203125
Phase 10 Pro - Play Your Friends!,1.99,59155,101,4.5,2.5,4+,Games,1,63.60546875
"Kindle – Read eBooks, Magazines & Textbooks",0.0,252076,80,3.5,4.5,4+,Book,9,161.8837890625
MASH,1.99,4913,1,4.0,4.0,9+,Games,15,39.759765625
同花顺-炒股、股票,0.0,1744,0,3.5,0.0,4+,Finance,1,117.193359375
Wedding Dash Deluxe,0.99,16567,1155,4.5,4.5,4+,Games,1,53.21875
Beer Pong Game,0.0,187315,9,2.0,4.0,17+,Games,9,180.203125
Tempo - Metronome with Setlists,2.99,4781,1,4.5,5.0,4+,Music,10,21.158203125
Skat,3.99,94,4,4.5,4.5,4+,Games,1,63.095703125
Color Splash,0.99,29554,55,4.0,5.0,4+,Photo & Video,3,26.83203125
Zombieville USA,0.99,32988,2489,4.0,4.0,12+,Games,1,26.667061805725098
Skype for iPhone,0.0,373519,127,3.5,4.0,4+,Social Networking,32,127.06640625
Tumblr,0.0,334293,919,4.0,4.0,17+,Social Networking,16,144.5517578125
iSwap Faces,1.99,2302,3,3.5,5.0,4+,Photo & Video,1,25.8154296875
Match™ - #1 Dating App.,0.0,60659,57,3.0,2.5,17+,Social Networking,10,96.568359375
Tozzle - Toddler's favorite puzzle,2.99,2562,10,4.0,4.5,4+,Games,4,160.400390625
HomeBudget with Sync,4.99,3042,6,3.5,4.0,4+,Finance,11,16.67578125
Wind Meter,0.99,338,12,2.5,2.0,4+,Weather,1,4.9921875
Map My Run+ - GPS Running & Workout Tracker,2.99,16434,3,4.5,4.5,4+,Health & Fitness,9,226.8916015625
Map My Ride+ - GPS Cycling & Route Tracker,2.99,10046,7,4.5,5.0,4+,Health & Fitness,9,222.6962890625
"HuffPost - News, Politics & Entertainment",0.0,29107,85,3.0,4.0,12+,News,10,105.3056640625
Phrase Party!,1.99,878,48,4.0,4.5,17+,Games,1,45.5615234375
Minesweeper Classic,0.99,1140,20,3.5,3.5,4+,Games,1,21.228515625
Sally's Spa,2.99,35074,403,4.5,4.0,4+,Games,6,411.76953125
"CBS Sports App - Sports Scores, News, Stats, Watch",0.0,59639,11,3.0,2.5,17+,Sports,1,114.7822265625
Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,4.99,2913,357,4.0,5.0,4+,Health & Fitness,1,86.62109375
iSwap Faces LITE,0.0,39722,0,3.0,0.0,4+,Photo & Video,1,29.3701171875
DIRECTV,0.0,81006,25,3.5,3.0,4+,Entertainment,1,144.3837890625
NYTimes Crossword - Daily Word Puzzle Game,0.0,53465,204,3.5,4.0,4+,Games,1,44.708984375
Doodle Jump,0.99,395261,88,4.5,4.5,4+,Games,1,46.4833984375
LEDit – The LED Banner App,1.99,2021,147,4.5,4.5,4+,Utilities,12,16.3515625
niconico,0.0,182,0,3.0,0.0,17+,Entertainment,3,24.61328125
Fandango Movies - Times + Tickets,0.0,291787,589,4.0,5.0,4+,Entertainment,1,78.12890625
iCab Mobile (Web Browser),1.99,2441,4,4.0,5.0,17+,Utilities,12,18.55078125
iRagdoll - Ragdoll Physics,0.99,1372,25,4.0,4.0,12+,Games,1,113.185546875
Proloquo2Go - Symbol-based AAC,249.99,773,10,4.0,3.5,4+,Education,3,690.2353515625
